Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
200,0.771819,0.874904,1.74,1.72,200,10,10,0.20,0.20,3,1.21,1.19,0.05,0.05,1.74,1.72
200,0.771550,0.874579,1.76,1.73,200,10,10,0.20,0.20,3,1.20,1.18,0.06,0.06,1.76,1.73
200,0.772030,0.875097,1.85,1.83,200,10,10,0.20,0.20,3,1.27,1.26,0.06,0.06,1.85,1.83
200,0.770383,0.873928,1.85,1.84,200,10,10,0.20,0.20,3,1.30,1.29,0.06,0.06,1.85,1.84
200,0.770475,0.874186,1.87,1.87,200,10,10,0.20,0.20,3,1.33,1.33,0.05,0.05,1.87,1.87
200,0.771471,0.874828,1.88,1.86,200,10,10,0.20,0.20,3,1.30,1.29,0.06,0.06,1.88,1.86
200,0.772172,0.875202,1.94,1.94,200,10,10,0.20,0.20,3,1.38,1.38,0.06,0.06,1.94,1.94
200,0.775979,0.877746,1.98,1.95,200,10,10,0.20,0.20,3,1.43,1.41,0.05,0.05,1.98,1.95
200,0.772164,0.874982,2.00,2.00,200,10,10,0.20,0.20,3,1.44,1.43,0.06,0.06,2.00,2.00
200,0.772290,0.875376,2.13,2.11,200,10,10,0.20,0.20,3,1.58,1.56,0.05,0.05,2.13,2.11
200,0.773273,0.875928,2.31,2.28,200,10,10,0.20,0.20,3,1.72,1.70,0.06,0.06,2.31,2.28
200,0.772869,0.875732,2.37,2.36,200,10,10,0.20,0.20,3,1.83,1.83,0.05,0.05,2.37,2.36
20,0.847964,0.920165,0.88,0.85,20,10,8,0.20,0.20,3,0.61,0.59,0.03,0.03,0.94,0.91
