alpha,MSE,MAE,Time
835,0.800121,0.892971,12627721
836,0.796702,0.889099,38133488
837,0.747232,0.859826,31057754
838,0.800803,0.892979,4935820
839,0.849209,0.920133,1547007
840,0.805478,0.894751,20818325
841,0.805415,0.896099,16143279
842,0.806199,0.896058,8553371
843,0.771982,0.877258,18300161
844,0.850280,0.920792,6475178
845,0.805319,0.895786,12462099
846,0.762493,0.869187,17536401
847,0.890908,0.942973,219726
848,0.791802,0.884258,26270194
849,0.800470,0.893399,5103019
850,0.820195,0.903101,18676120
851,0.740230,0.857999,3403497
852,0.769371,0.873119,31544716
853,0.733090,0.854045,31774425
854,0.798374,0.890113,27680770
855,0.717214,0.839354,36799510
856,0.817630,0.901282,35059886
857,0.810520,0.899019,2533842
858,0.762564,0.871327,1907543
859,0.803275,0.893432,21309092
860,0.803189,0.894292,7161302
861,0.735877,0.851099,37512648
862,0.775607,0.879336,4427965
863,0.765800,0.873580,15686280
864,0.727936,0.849699,24103395
865,0.794868,0.889280,25810229
866,0.734441,0.850129,28314002
867,0.762429,0.871734,21807923
868,0.761957,0.869343,16439023
869,0.830344,0.909537,33249822
870,0.753859,0.861817,23354930
871,0.731554,0.851347,37257348
872,0.782976,0.883453,8964141
873,0.761458,0.868251,31908302
874,0.735919,0.855108,15128550
875,0.767631,0.874443,15439320
876,0.733970,0.854190,3941442
877,0.733415,0.851357,32664952
878,0.796012,0.888907,15659047
879,0.725539,0.844625,30211636
880,0.752321,0.865254,37767971
881,0.800179,0.893238,34335167
882,0.824400,0.905025,33615134
883,0.813781,0.898662,28883728
884,0.795920,0.890951,25680633
885,0.733778,0.851631,20866945
886,0.782642,0.883258,25254279
887,0.726620,0.844983,20311560
888,0.735107,0.850420,23400788
889,0.759851,0.869684,27161823
890,0.794702,0.889846,1191693
891,0.842277,0.916662,30562090
892,0.741882,0.858001,24245511
893,0.876088,0.934565,5619658
894,0.837697,0.910952,5819410
895,0.827401,0.906564,7919947
896,0.728546,0.846868,31429887
897,0.762346,0.869212,34133412
898,0.752300,0.863236,29727870
899,0.734388,0.854506,7439951
900,0.800347,0.891678,26954274
901,0.749111,0.863649,12653841
902,0.891391,0.942240,4268340
903,0.819379,0.903009,35918416
904,0.757064,0.867387,4133184
905,0.714817,0.837828,19396890
906,0.829334,0.909303,10928776
907,0.789078,0.886446,8074627
908,0.854552,0.922878,11632883
909,0.804407,0.893920,26587824
910,0.756548,0.867802,38286264
911,0.828123,0.906153,8971895
912,0.714349,0.837547,20494032
913,0.779220,0.879299,31472438
914,0.729057,0.846755,37855624
915,0.808442,0.897156,5745706
916,0.838875,0.912045,11910424
917,0.739820,0.853550,22680943
918,0.799300,0.890045,26057266
919,0.795688,0.889453,35311212
920,0.911218,0.953164,9413807
921,0.780653,0.880144,27248959
922,0.737503,0.854615,25444342
923,0.876191,0.935112,33659319
924,0.806352,0.895115,32868618
925,0.800503,0.893591,31263753
926,0.747737,0.863074,1150306
927,0.757914,0.868428,23869545
928,0.797238,0.891072,24968205
929,0.732578,0.848629,30878177
930,0.749056,0.863733,31309496
931,0.759029,0.869265,11493519
932,0.813242,0.899729,3103059
933,0.804287,0.893666,35577836
934,0.806447,0.896033,6982976
935,0.719761,0.845670,7236243
936,0.796411,0.891066,14545767
937,0.770931,0.874622,17911752
938,0.815522,0.901241,15310870
939,0.763645,0.867343,26178651
940,0.800932,0.893703,4070617
941,0.771285,0.876568,13168175
942,0.811579,0.897071,35150546
943,0.766971,0.872281,24564649
944,0.744530,0.860483,4211653
945,0.779488,0.879576,32577210
946,0.721295,0.843966,30310355
947,0.796754,0.888728,16122078
948,0.781301,0.882472,14829194
949,0.820015,0.903265,15938662
950,0.852233,0.919487,11004330
951,0.815491,0.899789,24243001
952,0.790527,0.887792,2758662
953,0.855981,0.924095,36448672
954,0.824454,0.905695,17473360
955,0.765742,0.871132,35627280
956,0.773471,0.877951,27283465
957,0.692941,0.823558,18623667
958,0.813628,0.898737,19067866
959,0.825854,0.905675,11822711
960,0.788315,0.886149,9072884
961,0.832132,0.910810,9948402
962,0.737174,0.851723,23316231
963,0.803150,0.894152,12175943
964,0.792167,0.887715,5097279
965,0.759977,0.868987,30299207
966,0.782757,0.883257,19412187
967,0.814446,0.899255,19643047
968,0.835263,0.910552,7782000
969,0.754700,0.866982,34723058
970,0.900683,0.947673,5392738
971,0.824686,0.906360,11852617
972,0.828835,0.907860,7462273
973,0.871333,0.931837,114324
974,0.793472,0.889330,36417267
975,0.797710,0.891550,11673927
976,0.826488,0.907725,32691535
977,0.772217,0.875965,26298663
978,0.753017,0.865231,27796005
979,0.794131,0.887998,7091769
980,0.790010,0.886330,1808365
981,0.804893,0.894450,38800335
982,0.772546,0.875620,31334770
983,0.747497,0.862763,4567028
984,0.789398,0.886108,34820048
985,0.770709,0.874324,8379171
986,0.750903,0.862615,40194309
987,0.803132,0.893704,21674554
988,0.822528,0.903966,27002838
989,0.794985,0.890286,18833215
990,0.813578,0.899252,33497265
991,0.762842,0.871150,36075723
992,0.815760,0.901698,28781618
993,0.757911,0.868864,16384537
994,0.783869,0.883866,7822707
995,0.812643,0.898773,33878898
996,0.847286,0.916903,6254784
997,0.749622,0.861659,27234894
998,0.767767,0.874422,13092985
999,0.794703,0.890079,14036785
1000,0.786658,0.885357,21528993
