alpha,MSE,MAE,Time
153,0.801194,0.892432,92696900
154,0.837025,0.912326,103803459
155,0.802287,0.893055,77830032
156,0.834365,0.911733,133979928
157,0.819265,0.902839,36125110
158,0.795169,0.890231,101054300
159,0.822346,0.904919,108335011
160,0.882032,0.937814,69491335
161,0.906542,0.950334,117950232
162,0.818633,0.903457,26434710
163,0.882428,0.938035,48659209
164,0.832838,0.910730,49981821
165,0.857204,0.924054,95455712
166,0.804363,0.894913,27234744
167,0.857951,0.924849,36441264
168,0.834070,0.911570,3677455
169,0.831308,0.909497,20667215
170,0.882428,0.938035,62498781
171,0.846887,0.918607,31763692
172,0.841893,0.915626,57653194
173,0.846887,0.918607,116393442
174,0.812733,0.898731,19402714
175,0.806442,0.896284,1969469
176,0.912477,0.953619,21689617
177,0.788074,0.884643,111504237
178,0.857571,0.924228,79391354
179,0.943669,0.970403,78372784
180,0.820333,0.904431,36959323
181,0.825892,0.906445,33615415
182,0.919698,0.957614,81065940
183,0.834570,0.911855,134234555
184,0.820333,0.904431,126312315
185,0.834570,0.911855,35230296
186,0.825290,0.905936,62425483
187,0.822346,0.904919,110653139
188,0.833560,0.911265,71355407
189,0.846477,0.918363,13840680
190,0.820236,0.904378,69349047
191,0.895799,0.945320,140846742
192,0.862914,0.927642,131790912
193,0.809860,0.898023,95783757
194,0.825892,0.906445,39866847
195,0.836383,0.913484,32133630
196,0.834570,0.911855,41600366
197,0.861326,0.926742,67101591
198,0.862914,0.927642,68574895
199,0.881507,0.937400,45277821
200,0.838132,0.913813,87768806
201,0.812526,0.898534,131073677
202,0.846575,0.918413,77041513
203,0.834570,0.911855,145422000
204,0.822346,0.904919,97828016
205,0.877092,0.934288,96444228
206,0.819031,0.903687,147391470
207,0.841472,0.915323,119517633
208,0.834570,0.911855,58309362
209,0.834570,0.911855,77143721
210,0.829108,0.907765,48251313
211,0.822346,0.904919,95268685
212,0.795583,0.890482,110759137
213,0.819923,0.904186,129317253
214,0.807120,0.896012,79864136
215,0.877966,0.935733,87432348
216,0.804656,0.894829,14908445
217,0.817892,0.902949,142289619
218,0.836383,0.913484,48446384
219,0.893952,0.944303,86263852
220,0.846676,0.918471,6491195
221,0.817827,0.902040,117795431
222,0.820333,0.904431,77471491
223,0.820027,0.904251,138282108
224,0.820333,0.904431,63940085
225,0.813264,0.899093,117338338
226,0.834570,0.911855,20776635
227,0.890658,0.942134,105540451
228,0.834570,0.911855,34800826
229,0.838330,0.913923,89351530
230,0.818102,0.903118,1179168
231,0.818079,0.903084,122569632
232,0.833708,0.911735,70786103
233,0.833956,0.911486,78220682
234,0.846786,0.918549,118352529
235,0.834154,0.911596,18975015
236,0.833742,0.911333,25025807
237,0.795583,0.890482,116104896
238,0.834570,0.911855,138492649
239,0.836928,0.912274,83335169
240,0.834063,0.911558,43609513
241,0.833176,0.911061,37104858
242,0.834570,0.911855,28964751
243,0.828753,0.908282,4729546
244,0.901192,0.947394,16783007
245,0.809344,0.897696,108828887
246,0.877966,0.935733,92161895
247,0.846887,0.918607,31691453
248,0.856976,0.923899,101479403
249,0.832681,0.910394,140608280
250,0.820333,0.904431,117955306
251,0.791987,0.886669,107970599
252,0.788502,0.884989,108764608
253,0.836383,0.913484,45787693
254,0.837618,0.913504,96613604
255,0.926276,0.961121,23065589
256,0.819837,0.904151,13486927
257,0.916666,0.956056,117390239
258,0.802386,0.893161,128606041
259,0.819920,0.904180,48287754
260,0.846689,0.918497,57102665
261,0.833607,0.911677,129785209
262,0.834570,0.911855,21218283
263,0.813264,0.899093,127888769
264,0.908922,0.951861,58366788
265,0.846887,0.918607,139570812
266,0.862914,0.927642,146863785
267,0.885222,0.939080,83392595
268,0.932175,0.963924,106036604
269,0.836383,0.913484,135717331
270,0.820333,0.904431,17088661
271,0.914111,0.954639,7014
272,0.798653,0.891623,23183085
273,0.829590,0.908901,46053412
274,0.832076,0.910421,4736561
275,0.812628,0.898571,39966092
