alpha,MSE,MAE,Time
357,0.307932,0.550190,2322350
358,0.310053,0.554247,710144
359,0.275792,0.521271,405369
360,0.275493,0.519469,88219
361,0.360479,0.592902,1518000
362,0.340062,0.577340,674227
363,0.231970,0.475011,864796
364,0.235268,0.478374,1772641
365,0.245037,0.488207,1289249
366,0.322554,0.561340,597263
367,0.224268,0.466300,1549912
368,0.240013,0.480127,494272
369,0.334200,0.575264,1765708
370,0.282175,0.525901,5293
371,0.304005,0.548270,1832857
372,0.239727,0.480320,1286793
373,0.240551,0.481514,941911
374,0.345092,0.584017,1152834
375,0.206312,0.443445,202209
376,0.252514,0.494367,319997
377,0.209234,0.446435,2223607
378,0.287855,0.533106,1100696
379,0.204853,0.443388,1657510
380,0.222483,0.463835,1842153
381,0.337339,0.572258,1262344
382,0.236351,0.480223,947227
383,0.307926,0.551305,2370927
384,0.275213,0.520260,1277741
385,0.211267,0.448627,1052396
386,0.195036,0.430798,1719889
387,0.233217,0.475561,1389191
388,0.202568,0.441743,978619
389,0.287177,0.532521,33905
390,0.207319,0.446891,1794560
391,0.263686,0.507539,1066839
392,0.205918,0.444061,1551905
393,0.297660,0.540705,72660
394,0.262446,0.507267,1931635
395,0.202666,0.440066,928418
396,0.309923,0.553033,1361909
397,0.239437,0.480253,132770
398,0.213127,0.453006,82203
399,0.320691,0.562454,1856182
400,0.249169,0.493390,1898479
401,0.215333,0.456677,87497
402,0.213262,0.451502,1292912
403,0.319978,0.562598,789144
404,0.208357,0.446456,1029408
405,0.233506,0.477214,49619
406,0.280973,0.524005,991354
407,0.249003,0.492574,1349405
408,0.243935,0.487261,2273226
409,0.224164,0.465114,2092051
410,0.653514,0.807444,610788
411,0.233373,0.475790,1719251
412,0.267534,0.511979,958268
413,0.360479,0.592902,1558016
414,0.204268,0.443106,1694051
415,0.378711,0.612320,2236009
416,0.249588,0.492262,214285
417,0.300503,0.543967,1017812
418,0.213757,0.454187,1229073
419,0.293704,0.538217,1192904
420,0.298987,0.541745,1051717
421,0.251902,0.497412,627506
422,0.229371,0.471497,2259743
423,0.264215,0.507966,207495
424,0.253513,0.497684,700166
425,0.295899,0.538958,1795251
426,0.202764,0.441074,1135914
427,0.205955,0.444172,2062076
428,0.250225,0.494619,1928022
429,0.261256,0.503175,1218118
430,0.301931,0.546104,1522130
431,0.201783,0.438965,1430373
432,0.307620,0.552252,1305615
433,0.494525,0.702363,418915
434,0.251571,0.495746,2219518
435,0.285934,0.530381,2335023
436,0.212857,0.452767,468534
437,0.239791,0.483759,814744
438,0.215536,0.455372,1288301
439,0.205138,0.441476,345632
440,0.233966,0.476921,510668
441,0.305281,0.549201,1899090
442,0.342180,0.579480,2064884
443,0.222433,0.463449,1468936
444,0.268553,0.515243,1060978
445,0.286724,0.529422,1362807
446,0.337339,0.572258,1308817
447,0.310057,0.552623,1275263
448,0.228497,0.470325,2380619
449,0.350936,0.586867,141762
450,0.192950,0.429032,72039
451,0.218254,0.459048,1036209
452,0.251691,0.494427,769268
453,0.521511,0.719889,2331783
454,0.201476,0.439044,1243705
455,0.212850,0.452753,1469435
456,0.202212,0.438687,1730906
457,0.217430,0.458543,2379619
458,0.228424,0.470673,1135383
459,0.206998,0.446554,1262800
460,0.297891,0.542732,1201609
461,0.254034,0.498138,261386
462,0.320284,0.563357,297046
463,0.339184,0.580140,111096
464,0.209218,0.446415,680301
465,0.229308,0.471481,120437
466,0.205773,0.444693,49992
467,0.243682,0.483624,1148835
468,0.219617,0.460817,935182
469,0.241955,0.482327,1338294
470,0.244436,0.484796,1494468
471,0.322346,0.564917,1445850
472,0.253740,0.496059,841256
473,0.240010,0.480986,1163224
474,0.277856,0.523442,518658
475,0.276714,0.521539,1902234
476,0.199782,0.436999,129903
477,0.297520,0.542534,1827475
478,0.325400,0.567025,781369
479,0.199474,0.436195,114395
480,0.212280,0.452847,1969238
481,0.206657,0.445923,853409
482,0.337339,0.572258,1150604
483,0.212722,0.453012,342379
484,0.278692,0.524709,789065
485,0.256455,0.499594,2394309
486,0.206851,0.446594,1811815
487,0.202020,0.438787,123844
488,0.320936,0.564041,2377801
489,0.290353,0.534908,551070
490,0.264248,0.506695,1386645
491,0.273225,0.517640,1183283
492,0.279668,0.523305,812457
493,0.324093,0.566608,1683691
494,0.223471,0.465013,1294379
495,0.337339,0.572258,1492758
496,0.204410,0.441013,1804129
497,0.213423,0.452982,1344372
498,0.200317,0.436202,245466
499,0.318172,0.561436,343183
500,0.252044,0.494342,286538
501,0.217446,0.457837,1739934
502,0.246163,0.488249,1789033
503,0.345838,0.584883,1127795
504,0.208595,0.447566,507030
505,0.280464,0.525188,2307691
506,0.252695,0.494731,633901
507,0.287125,0.532176,636934
508,0.255798,0.500344,1739039
509,0.209615,0.448133,1415271
510,0.227244,0.469449,751330
511,0.291004,0.535056,1312150
512,0.238168,0.478093,2268681
513,0.336310,0.577406,1901934
514,0.278606,0.521593,1654530
515,0.225114,0.467643,661618
516,0.276950,0.522042,1900116
517,0.220932,0.461473,1070217
518,0.306895,0.550239,785462
519,0.258151,0.500860,1881790
520,0.244151,0.488051,1621288
521,0.234396,0.478345,2172108
522,0.307766,0.550401,668945
523,0.250424,0.491650,37617
524,0.252109,0.496902,1459671
525,0.306792,0.550777,1963325
526,0.312578,0.554714,1530375
527,0.272808,0.517994,867673
528,0.246384,0.488825,911569
529,0.261973,0.506457,1775842
530,0.286474,0.528628,1210856
