K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
400,0.048305,0.534124,0.711976,0.76828,37.63,37.48,0.2,0.2,3
400,0.047547,0.532033,0.711066,0.774284,37.25,37.12,0.2,0.2,3
400,0.050581,0.532258,0.710674,0.764433,37.09,36.97,0.2,0.2,3
400,0.05124,0.531998,0.710141,0.766455,37.85,37.69,0.2,0.2,3
400,0.04855,0.53332,0.712064,0.766191,37.11,36.99,0.2,0.2,3
400,0.044948,0.533125,0.712093,0.760559,38.01,37.87,0.2,0.2,3
400,0.050215,0.532735,0.711946,0.772676,38.42,38.3,0.2,0.2,3

450,0.044017,0.527545,0.706907,0.767415,39.5,39.36,0.2,0.2,3
450,0.042965,0.526874,0.707059,0.765532,39.95,39.83,0.2,0.2,3
450,0.047203,0.526401,0.705605,0.768726,40.09,39.96,0.2,0.2,3
450,0.043364,0.525856,0.705877,0.775215,39.41,39.28,0.2,0.2,3
450,0.04391,0.525998,0.705532,0.770014,40.18,40.06,0.2,0.2,3
450,0.045174,0.526429,0.70611,0.769222,39.03,38.86,0.2,0.2,3
450,0.043655,0.526315,0.70531,0.769692,39.74,39.53,0.2,0.2,3
450,0.044285,0.526895,0.706214,0.770549,40.62,40.51,0.2,0.2,3
450,0.044545,0.52723,0.706311,0.763699,41.33,41.2,0.2,0.2,3
450,0.040631,0.525884,0.705399,0.770718,41.05,40.91,0.2,0.2,3
450,0.045115,0.527089,0.706888,0.771077,40.36,40.23,0.2,0.2,3
450,0.043593,0.526177,0.706001,0.774511,41.78,41.67,0.2,0.2,3
450,0.045547,0.527389,0.70658,0.764343,40.87,40.73,0.2,0.2,3
450,0.046147,0.52712,0.706383,0.766395,41.64,41.47,0.2,0.2,3
450,0.042028,0.525635,0.704798,0.761681,40.51,40.38,0.2,0.2,3
450,0.043351,0.525813,0.705739,0.766217,40.64,40.48,0.2,0.2,3
450,0.041962,0.525411,0.70568,0.775784,41.78,41.58,0.2,0.2,3
450,0.043337,0.525766,0.70606,0.773732,41.45,41.3,0.2,0.2,3
450,0.043225,0.526517,0.706722,0.770085,41.35,41.2,0.2,0.2,3
450,0.047177,0.527537,0.706684,0.765464,41.8,41.65,0.2,0.2,3
450,0.042446,0.525863,0.705766,0.768544,41.97,41.83,0.2,0.2,3
450,0.04333,0.525418,0.7048,0.759108,41.1,40.98,0.2,0.2,3
450,0.046842,0.528016,0.706903,0.771525,42.6,42.46,0.2,0.2,3
450,0.043578,0.52637,0.706491,0.768945,41.88,41.74,0.2,0.2,3
450,0.047345,0.524957,0.704493,0.770081,41.45,41.32,0.2,0.2,3
450,0.045045,0.526885,0.707284,0.771046,41.13,40.95,0.2,0.2,3
450,0.042612,0.525757,0.704567,0.76416,41.71,41.58,0.2,0.2,3
450,0.048151,0.526224,0.70636,0.77789,42.89,42.74,0.2,0.2,3
450,0.045411,0.52676,0.706012,0.766571,42.11,41.9,0.2,0.2,3
450,0.045147,0.526663,0.705522,0.767427,42.74,42.58,0.2,0.2,3
450,0.043228,0.526107,0.705548,0.774127,42.5,42.33,0.2,0.2,3
450,0.045752,0.526605,0.707192,0.771834,42.77,42.58,0.2,0.2,3

500,0.041606,0.519765,0.699512,0.772422,44.73,44.6,0.2,0.2,3
500,0.041982,0.520488,0.701311,0.77851,44.47,44.33,0.2,0.2,3
500,0.041694,0.520773,0.701975,0.777136,44.69,44.55,0.2,0.2,3
500,0.039934,0.52019,0.700224,0.768979,43.87,43.72,0.2,0.2,3
500,0.040852,0.520516,0.701645,0.770617,44.12,43.99,0.2,0.2,3
500,0.041656,0.520711,0.70093,0.78103,44.75,44.57,0.2,0.2,3
500,0.038288,0.519984,0.700621,0.773564,44.46,44.33,0.2,0.2,3
500,0.040893,0.519402,0.699544,0.776409,44.6,44.46,0.2,0.2,3
500,0.039892,0.520425,0.700608,0.775458,44.09,43.95,0.2,0.2,3
500,0.042011,0.520827,0.702031,0.779485,44.66,44.52,0.2,0.2,3
500,0.042295,0.520399,0.701068,0.777602,45.1,44.96,0.2,0.2,3
500,0.0391,0.520719,0.700989,0.780972,45.23,45.08,0.2,0.2,3
500,0.040928,0.518952,0.699392,0.780397,45.41,45.27,0.2,0.2,3
500,0.041129,0.522282,0.702845,0.777651,46.73,46.54,0.2,0.2,3
500,0.041211,0.519935,0.700513,0.77453,45.36,45.2,0.2,0.2,3
500,0.039223,0.519633,0.700014,0.775975,45.17,45.03,0.2,0.2,3
500,0.039373,0.520656,0.701875,0.776954,46.21,46.03,0.2,0.2,3
500,0.039397,0.521626,0.703,0.778626,46.29,46.1,0.2,0.2,3
500,0.038558,0.521265,0.701606,0.77362,45.44,45.29,0.2,0.2,3
500,0.040916,0.520244,0.70025,0.772,44.95,44.82,0.2,0.2,3
500,0.041517,0.52058,0.700611,0.765584,46.65,46.5,0.2,0.2,3
500,0.038834,0.519274,0.699812,0.777821,45.76,45.63,0.2,0.2,3
500,0.043205,0.520883,0.701378,0.776595,45.85,45.69,0.2,0.2,3
500,0.039446,0.520626,0.701089,0.766852,46.71,46.57,0.2,0.2,3
500,0.041941,0.51942,0.699621,0.779188,45.4,45.26,0.2,0.2,3
500,0.039646,0.518383,0.698548,0.768166,47.15,47.01,0.2,0.2,3
500,0.039381,0.520049,0.700923,0.7761,45.84,45.7,0.2,0.2,3
500,0.03978,0.521273,0.701896,0.773258,46.77,46.63,0.2,0.2,3
500,0.039617,0.520391,0.700592,0.777048,46.44,46.29,0.2,0.2,3
500,0.03853,0.518798,0.699144,0.774436,47.21,47.08,0.2,0.2,3
500,0.038639,0.519038,0.698855,0.772169,46.59,46.44,0.2,0.2,3
500,0.039747,0.520265,0.701284,0.773189,46.28,46.14,0.2,0.2,3
500,0.038203,0.520193,0.70105,0.773595,46.43,46.29,0.2,0.2,3
500,0.041175,0.521813,0.702453,0.774739,47.65,47.51,0.2,0.2,3
500,0.039393,0.520472,0.70114,0.776657,47.38,47.19,0.2,0.2,3
